Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks
1.00,09-01-2020,BYJU’S,E-Tech,E-learning,Bangalore,Tiger Global Management,Private Equity Round,"₹ 20,00,00,000.00",
2.00,13-01-2020,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,"₹ 80,48,394.00",
3.00,09-01-2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Bangalore,Sequoia Capital India,Series B,"₹ 1,83,58,860.00",
4.00,02-01-2020,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,"₹ 30,00,000.00",
5.00,02-01-2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,"₹ 18,00,000.00",
6.00,13-01-2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,"₹ 90,00,000.00",
7.00,10-01-2020,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,"₹ 15,00,00,000.00",
8.00,12-12-2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,"₹ 60,00,000.00",
9.00,06-12-2019,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,"₹ 7,00,00,000.00",
10.00,03-12-2019,Dhruva Space,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed,"₹ 5,00,00,000.00",
11.00,13-12-2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,"₹ 2,00,00,000.00",
12.00,17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,"₹ 1,20,00,000.00",
13.00,16-12-2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,"₹ 3,00,00,000.00",
14.00,16-12-2019,InCred,Finance,Non-Banking Financial Company,Mumbai,,Debt Funding,"₹ 59,00,000.00",
15.00,14-12-2019,Trell,Video,Experience Discovery Platform,Bangalore,Ruizheng Investment,Seed Round,"₹ 20,00,000.00",
16.00,11-12-2019,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,"₹ 5,00,00,000.00",
17.00,20-12-2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,"₹ 23,10,00,000.00",
18.00,13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,"₹ 15,00,00,000.00",
19.00,14-11-2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,"₹ 4,86,000.00",
20.00,13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,"₹ 15,00,000.00",
21.00,17-11-2019,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,N/A,N/A
22.00,18-11-2019,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,"₹ 1,20,00,000.00",
23.00,15-11-2019,Ninjacart,B2B Marketing,Agritech,Bangalore,Trifecta Capital Advisors,Debt Funding,"₹ 2,60,00,000.00",
24.00,20-11-2019,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,"₹ 1,74,11,265.00",
25.00,12-11-2019,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,"₹ 13,00,000.00",
26.00,20-11-2019,Clumio,SaaS,Recovery software,San Jose,"Altimeter Capital, Sutter Hill Ventures",Series C,"₹ 13,50,00,000.00",
27.00,11-11-2019,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,"₹ 3,00,000.00",
28.00,19-11-2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,"₹ 22,00,00,000.00",
29.00,18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,"₹ 1,58,00,000.00",
30.00,15-11-2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,"₹ 28,30,00,000.00",
31.00,19-11-2019,Furtados School of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,N/A,"₹ 20,00,00,000.00",
32.00,25-11-2019,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,"₹ 1,00,00,00,000.00",
33.00,04-10-2019,Dunzo,Customer Service,Delivery Service,Bangalore,Lightbox,Series D,"₹ 4,50,00,000.00",
34.00,02-10-2019,Udaan,B2B,Business development,Bangalore,"Altimeter Capital, DST Global",Series D,"₹ 58,50,00,000.00",
35.00,21-10-2019,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,N/A,N/A
